timestamp,open,high,low,close,volume
1779041760000,78135.34000000,78135.35000000,78135.34000000,78135.35000000,0.29233000
1779041820000,78135.35000000,78146.29000000,78129.17000000,78129.17000000,1.83984000
1779041880000,78129.17000000,78129.18000000,78093.51000000,78093.51000000,1.59492000
1779041940000,78093.52000000,78093.52000000,78054.90000000,78054.91000000,4.22911000
1779042000000,78054.90000000,78057.43000000,78027.63000000,78039.82000000,7.96464000
1779042060000,78039.82000000,78043.55000000,78015.35000000,78015.35000000,6.73975000
1779042120000,78015.35000000,78040.00000000,78014.33000000,78040.00000000,2.74473000
1779042180000,78040.00000000,78040.00000000,78039.98000000,78039.99000000,4.69268000
1779042240000,78039.98000000,78065.36000000,78039.98000000,78065.35000000,1.98504000
1779042300000,78065.36000000,78092.44000000,78065.35000000,78092.43000000,1.91769000
1779042360000,78092.44000000,78117.36000000,78092.43000000,78114.63000000,3.56674000
1779042420000,78114.63000000,78131.18000000,78114.63000000,78131.17000000,1.70990000
1779042480000,78131.17000000,78136.99000000,78119.78000000,78126.51000000,3.69003000
1779042540000,78126.52000000,78136.99000000,78126.51000000,78136.99000000,1.02733000
1779042600000,78136.98000000,78140.00000000,78124.50000000,78124.51000000,0.97587000
1779042660000,78124.50000000,78135.19000000,78124.50000000,78135.19000000,0.74899000
1779042720000,78135.18000000,78159.60000000,78135.18000000,78159.60000000,2.04471000
1779042780000,78159.60000000,78171.03000000,78149.73000000,78153.98000000,2.04946000
1779042840000,78153.98000000,78161.51000000,78127.42000000,78127.42000000,1.17880000
1779042900000,78127.43000000,78143.54000000,78127.42000000,78143.54000000,0.78099000
1779042960000,78143.54000000,78143.54000000,78143.53000000,78143.53000000,0.27939000
1779043020000,78143.54000000,78143.54000000,78143.53000000,78143.54000000,0.45501000
1779043080000,78143.53000000,78147.33000000,78143.53000000,78147.32000000,1.70358000
1779043140000,78147.33000000,78147.33000000,78146.42000000,78146.42000000,0.18958000
1779043200000,78146.42000000,78146.43000000,78131.33000000,78139.99000000,2.27416000
1779043260000,78139.99000000,78139.99000000,78131.81000000,78131.82000000,0.89627000
1779043320000,78131.81000000,78140.00000000,78131.81000000,78140.00000000,0.62074000
1779043380000,78140.00000000,78140.00000000,78137.29000000,78137.29000000,0.24795000
1779043440000,78137.29000000,78137.30000000,78130.33000000,78130.33000000,2.14686000
1779043500000,78130.33000000,78134.00000000,78124.50000000,78125.23000000,2.29267000
1779043560000,78125.23000000,78128.87000000,78118.00000000,78128.87000000,1.59881000
1779043620000,78128.87000000,78128.87000000,78125.99000000,78126.00000000,0.51888000
1779043680000,78125.99000000,78134.78000000,78125.99000000,78134.78000000,0.90488000
1779043740000,78134.77000000,78166.96000000,78134.77000000,78166.95000000,1.70738000
1779043800000,78166.95000000,78171.03000000,78152.39000000,78171.02000000,2.48346000
1779043860000,78171.02000000,78175.53000000,78163.82000000,78175.52000000,2.73952000
1779043920000,78175.52000000,78175.53000000,78175.52000000,78175.53000000,0.50952000
1779043980000,78175.52000000,78205.16000000,78175.52000000,78205.15000000,2.64779000
